ID,Module,Sub-module,Requirement#,Description,Metrics,Test Requirements,Pass Criteria,Priority,Version,PRD Chapter Reference,HLD Reference,LLD Reference
REQ-001,PCIe/NVMe Device Emulation Module,PCIe Configuration Space Emulation,FR-PCIE-001,"Implement standard PCI Type 0 configuration header, Vendor ID configurable, Class Code=0x010802","lspci -v displays device, Class is ""Non-Volatile memory controller""",lspci -v displays device,Class shown as Non-Volatile memory controller,P0,V1.0,5.1.2,,
REQ-002,PCIe/NVMe Device Emulation Module,PCIe Configuration Space Emulation,FR-PCIE-001,"Implement PCIe Capabilities linked list, support PM Cap(0x01), MSI Cap(0x05), MSI-X Cap(0x11), PCIe Cap(0x10)",lspci -vvv shows complete Capabilities linked list,lspci -vvv shows complete Capabilities linked list,All Capabilities displayed correctly,P0,V1.0,5.1.2,,
REQ-003,PCIe/NVMe Device Emulation Module,PCIe Configuration Space Emulation,FR-PCIE-001,"BAR register configuration, BAR0>=16KB, support BAR2/BAR4 for MSI-X",BAR mapped correctly,Linux NVMe driver successfully binds device,Linux NVMe driver successfully binds device,P0,V1.0,5.1.2,,
REQ-004,PCIe/NVMe Device Emulation Module,NVMe Controller Register Emulation,FR-NVME-001,"CAP register configuration, MQES=65535, CQR=0, AMS supports Round Robin+WRR, TO configurable",Read CAP register to verify bit fields,Read CAP register to verify bit fields,All CAP bit fields configured correctly,P0,V1.0,5.1.3,,
REQ-005,PCIe/NVMe Device Emulation Module,NVMe Controller Register Emulation,FR-NVME-001,VS register configuration VS=0x00020000 (NVMe 2.0),Read VS register to verify,Read VS register to verify,VS returns 0x00020000,P0,V1.0,5.1.3,,
REQ-006,PCIe/NVMe Device Emulation Module,NVMe Controller Register Emulation,FR-NVME-001,"Controller initialization, write CC.EN=1 then CSTS.RDY set to 1 within timeout",nvme list command recognizes device,nvme list command recognizes device,Device appears in nvme list output,P0,V1.0,5.1.3,,
REQ-007,PCIe/NVMe Device Emulation Module,NVMe Controller Register Emulation,FR-NVME-001,"Doorbell registers, support up to 64 SQ/CQ pairs, Doorbell Stride=0",Write Doorbell then respond,Write Doorbell then respond,Commands processed correctly,P0,V1.0,5.1.3,,
REQ-008,PCIe/NVMe Device Emulation Module,NVMe Queue Management,FR-NVME-002,"Admin Queue, QID=0, max depth 256, physical address specified by ASQ/ACQ",Send Identify command succeeds,Send Identify command succeeds,Identify returns correct data,P0,V1.0,5.1.4,,
REQ-009,PCIe/NVMe Device Emulation Module,NVMe Queue Management,FR-NVME-002,"I/O Queue dynamic creation, support up to 64 I/O SQ/CQ pairs, queue depth 2~65535 configurable",nvme create-ns/nvme attach-ns execute normally,nvme create-ns/nvme attach-ns execute normally,Commands return success,P0,V1.0,5.1.4,,
REQ-010,PCIe/NVMe Device Emulation Module,NVMe Queue Management,FR-NVME-002,"PRP/SGL support, parse PRP1/PRP2/PRP List, parse SGL Descriptor","Non-aligned IO (512B/4KB/8KB/16KB/128KB/1MB) processed correctly, md5sum verifies write-read consistency",Non-aligned IO processed correctly,md5sum verifies write-read consistency,P0,V1.0,5.1.4,,
REQ-011,PCIe/NVMe Device Emulation Module,NVMe Queue Management,FR-NVME-002,"Completion processing, write 64-byte CQE, update CQ Phase Tag, MSI-X interrupt delivery",Run 64 I/O Queue pairs simultaneously,Run 64 I/O Queue pairs simultaneously,All queues work normally,P0,V1.0,5.1.4,,
REQ-012,PCIe/NVMe Device Emulation Module,MSI-X Interrupt Emulation,FR-NVME-003,"MSI-X Table, up to 64 Table Entries, includes Message Address/Message Data/Vector Control","cat /proc/interrupts|grep nvme shows MSI-X interrupts",cat /proc/interrupts|grep nvme shows MSI-X interrupts,Interrupts displayed normally,P0,V1.0,5.1.5,,
REQ-013,PCIe/NVMe Device Emulation Module,MSI-X Interrupt Emulation,FR-NVME-003,"Interrupt delivery, apic->send_IPI or MMIO write triggers interrupt, interrupt affinity configurable",/proc/irq/<n>/smp_affinity configure interrupt affinity,/proc/irq/<n>/smp_affinity configure interrupt affinity,Configuration takes effect,P0,V1.0,5.1.5,,
REQ-014,PCIe/NVMe Device Emulation Module,MSI-X Interrupt Emulation,FR-NVME-003,"Interrupt coalescing, Set Feature(0x08) configures interrupt coalescing, aggregation threshold/time configurable",nvme set-feature configures interrupt coalescing,nvme set-feature configures interrupt coalescing,Configuration returns success,P0,V1.5,5.1.5,,
REQ-015,PCIe/NVMe Device Emulation Module,NVMe Admin Command Set,FR-NVME-004,"Admin command support: Delete I/O SQ(0x00), Create I/O SQ(0x01), Get Log Page(0x02), Delete I/O CQ(0x04), Create I/O CQ(0x05), Identify(0x06), Abort(0x08), Set Features(0x09), Get Features(0x0A), Async Event Request(0x0C), Namespace Management(0x0D), Firmware Commit(0x10), Firmware Image Download(0x11), Namespace Attachment(0x14), Doorbell Buffer Config(0x7C), Format NVM(0xC0)","nvme id-ctrl returns complete controller identification info, all fields correctly populated",nvme id-ctrl returns complete controller identification info,All fields correctly populated,P0,V1.0,5.1.6,,
REQ-016,PCIe/NVMe Device Emulation Module,NVMe I/O Command Set,FR-NVME-005,"I/O command support: Flush(0x00), Write(0x01), Read(0x02), Write Uncorrectable(0x04), Write Zeroes(0x08), Dataset Management(0x09), Verify(0x0C), Copy(0x0D)",fio read/write test runs normally,fio read/write test runs normally,IOPS/bandwidth meets expectations,P0,V1.0,5.1.7,,
REQ-017,PCIe/NVMe Device Emulation Module,NVMe I/O Command Set,FR-NVME-005,"Read/Write detailed parameters, SLBA 64bit, NLB 0-based max 65535, FUA/LR/DSM/PRINFO support","DD if=/dev/urandom of=/dev/nvme0n1 bs=4M count=100 writes correctly",DD if=/dev/urandom of=/dev/nvme0n1 bs=4M count=100 writes correctly,Write completes successfully,P0,V1.0,5.1.7,,
REQ-018,PCIe/NVMe Device Emulation Module,NVMe I/O Command Set,FR-NVME-005,"Dataset Management (Trim), support up to 256 LBA Ranges, support Deallocate flag","Trim operation releases physical pages, GC efficiency improves after Trim",Trim operation releases physical pages,GC efficiency improves after Trim,P0,V1.5,5.1.7,,
REQ-019,PCIe/NVMe Device Emulation Module,NVMe DMA Data Transfer,FR-NVME-006,"PRP parsing engine, parse PRP1/PRP2/PRP List, assemble scattered physical pages",Various aligned IO processed correctly,Various aligned IO processed correctly,All IO completes successfully,P0,V1.0,5.1.8,,
REQ-020,PCIe/NVMe Device Emulation Module,NVMe DMA Data Transfer,FR-NVME-006,"Data copy path, use memcpy_to_user_page/kmap_atomic/kunmap_atomic, consider NUMA affinity",md5sum verifies data consistency,md5sum verifies data consistency,100% consistent,P0,V1.0,5.1.8,,
REQ-021,PCIe/NVMe Device Emulation Module,NVMe DMA Data Transfer,FR-NVME-006,"IOMMU support, detect IOMMU status, use dma_map_page/dma_unmap_page",Normal operation with IOMMU enabled,Normal operation with IOMMU enabled,Functionality not affected,P0,V2.0,5.1.8,,
REQ-022,Controller Thread Module,Command Receive and Dispatch,FR-CTRL-001,"Kernel-userspace communication, shared memory Ring Buffer, lock-free design (SPSC/MPMC), default 16384 command slots, 128 bytes per slot, mmap exposed to userspace, eventfd notification",Kernel module loads and communication channel established,Kernel module loads and communication channel established,Commands successfully transmitted,P0,V1.0,5.2.2,,
REQ-023,Controller Thread Module,Command Receive and Dispatch,FR-CTRL-001,"Command arbitration policy, WRR arbitration (Urgent:100% preemption, High:Medium:Low=8:4:1), Round Robin alternative, runtime arbitration policy switch, Admin commands prioritized",Different priority commands scheduled by weight,Different priority commands scheduled by weight,Scheduling meets expectations,P0,V1.0,5.2.2,,
REQ-024,Controller Thread Module,Command Receive and Dispatch,FR-CTRL-001,"Command dispatch, dispatch by command type to corresponding firmware CPU core thread pool, maintain command state machine (Pending->In-Flight->Completing->Done), support command dependency tracking, max in-flight commands 4096 configurable",4096 concurrent commands in-flight,4096 concurrent commands in-flight,System runs stably,P0,V1.0,5.2.2,,
REQ-025,Controller Thread Module,Command Receive and Dispatch,FR-CTRL-001,"Command timeout management, each command maintains timeout timer, default 8 seconds configurable, timeout triggers error handling",Timed-out commands correctly return error status,Timed-out commands correctly return error status,Error status returned correctly,P0,V1.5,5.2.2,,
REQ-026,Controller Thread Module,I/O Scheduler,FR-CTRL-002,"Scheduling algorithm, default greedy scheduling (maximize Channel concurrency), optional FIFO/Deadline, write command coalescing (4KB->16KB), read command prefetch",Sequential read prefetch detected and requested,Sequential read prefetch detected and requested,Prefetch improves sequential read performance >=20%,P0,V1.5,5.2.3,,
REQ-027,Controller Thread Module,I/O Scheduler,FR-CTRL-002,"Write buffer management, Write Buffer default 4GB, write to Buffer then return completion (VWC), background thread flushes to NAND, Flush triggers forced flush, backpressure when full","Write Buffer full (>90%) stops accepting new write commands, backpressure effective",Write Buffer full (>90%) stops accepting new write commands,Backpressure effective,P0,V1.0,5.2.3,,
REQ-028,Controller Thread Module,I/O Scheduler,FR-CTRL-002,"Read cache, LRU read cache, default 256MB, cache hit returns directly",Read cache hit rate >=30% (hot data),Read cache hit rate >=30% (hot data),Cache hit rate >=30%,P0,V1.5,5.2.3,,
REQ-029,Controller Thread Module,I/O Scheduler,FR-CTRL-002,"Channel load balancing, real-time statistics of 16 Channel queue depths and busy status, new commands preferentially dispatched to low-load Channels, support command migration",Each Channel load variance <20%,Each Channel load variance <20%,Load variance <20%,P0,V1.5,5.2.3,,
REQ-030,Controller Thread Module,Resource Manager,FR-CTRL-003,"Free block management, maintain Channel/Die/Plane free block linked lists, high watermark (<20%) starts background GC, low watermark (<5%) starts emergency GC, critically low watermark (<2%) blocks new writes",GC auto-starts when free blocks below high watermark,GC auto-starts when free blocks below high watermark,GC triggers normally,P0,V1.0,5.2.4,,
REQ-031,Controller Thread Module,Resource Manager,FR-CTRL-003,"Command slot management, maintain global Command Tracking Table (CTT), CTT slots full triggers backpressure","CTT slots allocated and released on demand, functional",CTT slots allocated and released on demand,Functional,P0,V1.5,5.2.4,,
REQ-032,Controller Thread Module,Flow Control,FR-CTRL-004,"Token bucket rate limiter, per-Namespace and global two-level rate limiting, IOPS 1K-2000K configurable, bandwidth 50MB/s-14GB/s configurable, rate-exceeded commands enter wait queue","Rate limiting configuration effective, traffic conforms to limits",Rate limiting configuration effective,Traffic conforms to limits,P0,V1.5,5.2.5,,
REQ-033,Controller Thread Module,Flow Control,FR-CTRL-004,"Backpressure mechanism, Write Buffer >90% stops fetching new Write commands, adjust Doorbell frequency for soft rate limiting, deliver ASYNC EVENT notification","Write Buffer utilization at 95% write is throttled, backpressure effective",Write Buffer utilization at 95% write is throttled,Backpressure effective,P0,V1.0,5.2.5,,
